OC,TH_LAT,TH_LONG,SURVEY_DATE
10.3,34.99235719,33.61067677,2018-03-26 00:00:00
17.5,35.0508443,33.24147076,2018-03-30 00:00:00
9.3,34.98706229,33.19776029,2018-03-30 00:00:00
25.4,34.82776476,32.94111405,2018-03-31 00:00:00
20.3,35.2119591,25.18382286,2018-04-04 00:00:00
22.3,51.07828029,0.796809329,2018-04-04 00:00:00
8.2,35.02879473,33.82883122,2018-04-04 00:00:00
6.0,34.76511257,33.33037425,2018-04-04 00:00:00
24.6,51.05384887,0.945611072,2018-04-04 00:00:00
14.0,37.89170312,22.90030649,2018-04-05 00:00:00
61.1,52.79236916,-3.293312031,2018-04-05 00:00:00
7.2,35.03538901,33.94559923,2018-04-05 00:00:00
17.0,51.30301052,-0.988474601,2018-04-05 00:00:00
15.8,35.0530608,34.0203646,2018-04-05 00:00:00
13.9,35.00090107,33.93392511,2018-04-06 00:00:00
9.4,34.98924225,33.90708481,2018-04-06 00:00:00
17.7,35.0129759,34.02966036,2018-04-06 00:00:00
26.1,37.98451818,22.6195633,2018-04-06 00:00:00
40.0,51.62231336,-4.093053232,2018-04-06 00:00:00
22.0,37.8444959,22.57054714,2018-04-06 00:00:00
14.5,35.20110117,25.359297,2018-04-06 00:00:00
11.2,35.03490069,33.8766991,2018-04-07 00:00:00
13.9,35.02322554,33.84985529,2018-04-07 00:00:00
12.7,35.13348757,25.10084427,2018-04-07 00:00:00
22.3,51.14516428,0.956422743,2018-04-09 00:00:00
46.5,51.69913291,-3.910428478,2018-04-09 00:00:00
5.1,35.03723961,25.12519681,2018-04-09 00:00:00
10.9,35.0158569,25.1429125,2018-04-09 00:00:00
11.8,35.02300312,25.21087256,2018-04-09 00:00:00
13.8,34.96237483,25.24251725,2018-04-09 00:00:00
21.9,34.77932091,32.53955387,2018-04-10 00:00:00
60.3,36.66036191,22.37881999,2018-04-10 00:00:00
2.8,36.91726961,22.51482438,2018-04-10 00:00:00
23.0,53.10047814,-3.14565545,2018-04-11 00:00:00
75.2,51.63984992,-2.507954229,2018-04-12 00:00:00
19.1,51.2383295,1.226860287,2018-04-12 00:00:00
45.4,51.61719021,-3.678545639,2018-04-12 00:00:00
22.0,51.2996995,-0.435986509,2018-04-13 00:00:00
9.6,37.42668585,13.55494864,2018-04-13 00:00:00
14.0,35.10466077,24.93964641,2018-04-13 00:00:00
11.7,37.50500784,13.40167107,2018-04-13 00:00:00
12.6,35.09032412,24.9145403,2018-04-13 00:00:00
12.4,39.55259938,8.715764981,2018-04-15 00:00:00
22.9,39.48103367,8.786517178,2018-04-15 00:00:00
17.5,35.24754604,25.08016344,2018-04-16 00:00:00
28.6,34.72196122,32.54419051,2018-04-16 00:00:00
14.8,35.24383507,24.99052534,2018-04-16 00:00:00
24.5,51.90145483,-3.58818524,2018-04-16 00:00:00
15.9,42.71117849,24.5719928,2018-04-17 00:00:00
10.5,42.61244064,24.87037349,2018-04-17 00:00:00
36.0,50.94504632,-3.186693641,2018-04-17 00:00:00
20.1,52.96547584,-2.710072989,2018-04-17 00:00:00
20.3,39.3665261,-0.734154787,2018-04-18 00:00:00
13.6,51.41215938,-0.985807049,2018-04-18 00:00:00
37.3,35.30402354,25.51472748,2018-04-18 00:00:00
88.7,51.49639057,-1.970447645,2018-04-18 00:00:00
24.0,51.40787914,-2.122214823,2018-04-19 00:00:00
16.3,39.32188595,9.158402836,2018-04-19 00:00:00
65.4,39.39711953,20.62249181,2018-04-19 00:00:00
8.4,39.05710362,-7.760376461,2018-04-19 00:00:00
17.0,51.14669305,0.523401739,2018-04-19 00:00:00
6.5,39.12240511,-7.707231429,2018-04-19 00:00:00
15.7,39.20186454,-7.776581692,2018-04-19 00:00:00
21.9,39.52255302,-0.643024526,2018-04-19 00:00:00
12.1,40.72429809,8.362193646,2018-04-19 00:00:00
4.8,39.28882291,-1.864750624,2018-04-19 00:00:00
76.7,40.45406647,8.439558058,2018-04-20 00:00:00
15.1,37.60931694,-4.586466301,2018-04-20 00:00:00
17.6,37.72292434,-4.564975692,2018-04-20 00:00:00
52.6,39.87995066,16.06511759,2018-04-20 00:00:00
7.3,37.60242026,-4.630873566,2018-04-20 00:00:00
7.2,37.58918728,-1.999031862,2018-04-20 00:00:00
9.7,35.32239362,25.07352816,2018-04-20 00:00:00
22.2,35.36838199,24.90511304,2018-04-20 00:00:00
11.5,37.62365828,-4.612500898,2018-04-20 00:00:00
38.8,42.06781836,-7.850950023,2018-04-20 00:00:00
11.7,37.69421327,-4.512856784,2018-04-20 00:00:00
40.9,51.01741338,0.492486904,2018-04-20 00:00:00
12.4,39.05594885,-3.87630729,2018-04-20 00:00:00
3.9,41.68576094,-3.128308043,2018-04-20 00:00:00
46.2,40.33114234,8.700212477,2018-04-20 00:00:00
51.7,51.8474521,-4.194177031,2018-04-20 00:00:00
15.8,38.9946174,-3.793156285,2018-04-20 00:00:00
7.5,41.78291854,-3.222557937,2018-04-20 00:00:00
20.2,40.62097678,8.717813702,2018-04-21 00:00:00
10.3,39.05058605,-4.038995541,2018-04-21 00:00:00
10.5,35.1120186,25.34045258,2018-04-21 00:00:00
32.7,37.7282084,22.48044045,2018-04-21 00:00:00
11.9,40.78553715,8.856013818,2018-04-21 00:00:00
45.9,43.26892463,-1.686406332,2018-04-21 00:00:00
9.5,38.93604007,-3.944315905,2018-04-21 00:00:00
76.4,42.04180912,-7.892831414,2018-04-21 00:00:00
11.4,35.08005253,25.200619,2018-04-21 00:00:00
5.9,42.07524045,-3.360481833,2018-04-22 00:00:00
49.7,42.09617736,-3.340626633,2018-04-22 00:00:00
24.2,35.11391173,25.76285047,2018-04-22 00:00:00
10.9,40.65994131,8.952452423,2018-04-22 00:00:00
4.8,42.15115324,-3.475651927,2018-04-22 00:00:00
14.1,37.72214977,22.79943962,2018-04-22 00:00:00
19.4,42.11711028,-3.32075901,2018-04-22 00:00:00
22.5,42.08160882,-3.312864028,2018-04-22 00:00:00
45.3,40.5825138,8.553984545,2018-04-22 00:00:00
69.2,37.73092128,22.86972992,2018-04-22 00:00:00
16.7,37.81573174,13.34932448,2018-04-23 00:00:00
9.9,38.74607028,-4.113719309,2018-04-23 00:00:00
7.2,37.77042098,13.59524765,2018-04-23 00:00:00
75.7,51.2833177,-2.438600365,2018-04-23 00:00:00
10.1,39.2372865,-2.275800533,2018-04-23 00:00:00
15.6,39.25805367,-2.256338989,2018-04-23 00:00:00
10.0,39.28817527,-2.449145227,2018-04-23 00:00:00
20.3,35.09986269,26.16000332,2018-04-23 00:00:00
10.9,40.11261554,-3.131781233,2018-04-23 00:00:00
30.1,51.11244652,0.328564539,2018-04-23 00:00:00
18.5,40.81312818,8.26547557,2018-04-23 00:00:00
5.9,40.1188449,-3.085591144,2018-04-23 00:00:00
16.2,39.28612407,-7.918827731,2018-04-23 00:00:00
49.3,42.14205449,-7.848472302,2018-04-23 00:00:00
47.8,42.1592131,-3.551156971,2018-04-24 00:00:00
7.5,39.55585495,-0.671892876,2018-04-24 00:00:00
10.2,37.44224404,-4.116096403,2018-04-24 00:00:00
28.6,42.06728212,-3.554876837,2018-04-24 00:00:00
2.5,42.12696629,-3.519297863,2018-04-24 00:00:00
6.8,39.37498542,-6.067962544,2018-04-24 00:00:00
19.2,37.8045822,14.50016383,2018-04-24 00:00:00
29.8,51.14202752,0.466647777,2018-04-24 00:00:00
30.5,39.62497265,-0.706722518,2018-04-24 00:00:00
28.4,35.07292819,25.998372,2018-04-24 00:00:00
43.8,42.11566803,-3.467658042,2018-04-24 00:00:00
14.4,35.01098014,26.14023403,2018-04-24 00:00:00
35.2,51.48846992,-3.374958265,2018-04-24 00:00:00
9.6,39.02946713,-7.610744609,2018-04-24 00:00:00
8.5,40.25895841,-2.995643578,2018-04-24 00:00:00
20.7,40.2233511,-2.988326155,2018-04-24 00:00:00
32.8,39.37741248,-2.606864495,2018-04-24 00:00:00
8.2,39.4216005,-2.826610193,2018-04-24 00:00:00
19.9,42.20268287,-3.634784387,2018-04-24 00:00:00
9.3,39.40107833,-2.705266321,2018-04-24 00:00:00
5.7,39.34471729,-2.577087995,2018-04-24 00:00:00
107.7,51.55838226,-0.583290183,2018-04-24 00:00:00
31.4,42.12500151,-7.942907931,2018-04-24 00:00:00
78.7,37.92062611,14.34943102,2018-04-24 00:00:00
11.7,40.70697896,8.409768137,2018-04-24 00:00:00
33.6,51.60904817,-0.624417283,2018-04-24 00:00:00
7.0,38.84898601,-3.785854634,2018-04-24 00:00:00
8.8,38.89582987,-3.842380748,2018-04-24 00:00:00
